Country,Variable,Year,PercentageValue,Air_pollution_MM3,Dwellings_without_basic_facilities_%,Educational_attainment_%_Men,Educational_attainment_%_Total,Educational_attainment_%_Wemen,Employees_working_very_long_hours_%_Men,Employees_working_very_long_hours_%_Total,Employees_working_very_long_hours_%_Wemen,Employment_rate_%_Men,Employment_rate_%_Total,Employment_rate_%_Wemen,safety_at_night_%_M,safety_at_night_%_T,safety_at_night_%_F,Homicide_rate_M,Homicide_rate_T,Homicide_rate_F,Household_net_income,Household_net_wealth,Housing _xpenditure_%,Labour_market_insecurity_High%,Labour_market_insecurity_Low%,Labour_market_insecurity_M%,Labour_market_insecurity_T%,Labour_market_insecurity_F%,Life_expectancy_M,Life_expectancy_T,Life_expectancy_F,Life_satisfaction_high,Life_satisfaction_low,Life_satisfaction_M,Life_satisfaction_T,Life_satisfaction_F,Long_unemployment_rate_%_M,Long_unemployment_rate_%_T,Long_unemployment_rate_%_F,Personal earnings,Quality of support network_High_%,Quality of support network_Low_%,Quality of support network_M_%,Quality of support network_T_%,Quality of support network_F_%,Rooms_per_person,Self_reported_health_High_%,Self_reported_health_Low_%,Self_reported_health_M_%,Self_reported_health_T_%,Self_reported_health_F_%,Stakeholder_engagement_for_developing _egulations,Student skills_high,Student skills_low,Student skills_M,Student skills_T,Student skills_F,Time_devoted_to _eisure_and_personal_care_M,Time_devoted_to _eisure_and_personal_care_T,Time_devoted_to _eisure_and_personal_care_F,Voter turnout,Water_quality_M,Water_quality_T,Water_quality_F,Years_in_education_M,Years_in_education_T,Years_in_education_F
Belgium,TOTPUBSEW,2018,97.6947,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2019,97.8156,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Canada,TOTPUBSEW,2013,85.8,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,"",7.3,maybe,7.4,0.88,0.77,0.64,47622,94,"",92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,satisfying,90,16.9,17.3,17.8
Canada,TOTPUBSEW,2014,85.9,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,"",7.3,maybe,7.4,0.88,0.77,0.64,47622,94,"",92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,satisfying,90,16.9,17.3,17.8
Canada,TOTPUBSEW,2015,85.7,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,"",7.3,maybe,7.4,0.88,0.77,0.64,47622,94,"",92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,satisfying,90,16.9,17.3,17.8
Canada,TOTPUBSEW,2016,85.7,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,"",7.3,maybe,7.4,0.88,0.77,0.64,47622,94,"",92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,satisfying,90,16.9,17.3,17.8
Canada,TOTPUBSEW,2017,85.7,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,"",7.3,maybe,7.4,0.88,0.77,0.64,47622,94,"",92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,satisfying,90,16.9,17.3,17.8
Czech Republic,TOTPUBSEW,2010,79.4,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2011,80.6,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
Czech Republic,TOTPUBSEW,2012,78.1,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,"",24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,"","",6.7,maybe,6.7,0.85,1.04,1.28,25372,95,"",90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,"","","",61,87,satisfying,86,17.3,17.9,18.5
